ward_no,ward_lat,ward_lon
1,13.106518344740651,77.60181742132491
2,13.112558685190857,77.58517341691356
3,13.09940402029517,77.56408753264839
4,13.092762959179064,77.58302727985793
5,13.097630378793049,77.62338437583013
6,13.054860736781045,77.62406806769307
7,13.062112129753402,77.59753953145069
8,13.055599983141672,77.57717804671849
9,13.072645888496933,77.56522570786451
10,13.05819037923994,77.55816864733204
11,13.073159897955636,77.54528150859242
12,13.065570435324954,77.52124736620902
13,13.05256519194839,77.51476316779319
14,13.05667316010728,77.5019359685029
15,13.045774428301302,77.51437114414445
16,13.046248026735144,77.53979916578191
17,13.036242892529414,77.55369259362095
18,13.037611083494648,77.5710441294732
19,13.038937655069423,77.57741004128745
20,13.029710237464556,77.5880954883291
21,13.034521598503593,77.59364084168719
22,13.034736017040832,77.60380083449758
23,13.03003931907803,77.6171936637373
24,13.030868745041177,77.62924869317203
25,13.03356345568599,77.65547174400305
26,13.02416078467057,77.6788749298602
27,13.014269573770152,77.64860187346564
28,13.008497709314932,77.63621576467237
29,13.019072649430571,77.63403246960804
30,13.01570353096037,77.61984388674337
31,13.016073850265975,77.61494718210149
32,13.026045139029799,77.60856799191292
33,13.027275304308379,77.59769028168101
34,13.019499602753994,77.58882889552162
35,13.019972482786857,77.57273470183497
36,13.032170636063098,77.5611444331305
37,13.025882345717669,77.55449280907656
38,13.032182949445573,77.52929378818907
39,13.038747746314026,77.50723395443751
40,13.017909104665327,77.49001794868262
41,13.019892353139069,77.510437472015
42,13.020587701877869,77.5325523772203
43,13.013237515735689,77.53378652202137
44,13.01749762158662,77.54589980789171
45,13.0154204843493,77.56131441933906
46,13.017450264310359,77.59617976939069
47,13.01497800382205,77.6050607741037
48,13.01389913976776,77.61115111111882
49,13.010039690988414,77.62707987303143
50,12.99991399117156,77.65313786597223
51,13.006022263949836,77.67140743373888
52,13.016837945237029,77.69939385086957
53,13.011724567018144,77.70959783422778
54,13.016670469939612,77.70700801011515
55,13.001474082096852,77.69003552082731
56,12.99430519663559,77.67260118858506
57,12.983204563922044,77.66838063519953
58,12.975084051890809,77.65660207998343
59,13.000956190037314,77.62820398461776
60,13.006194237032052,77.6165419680698
61,13.006296714079639,77.60747882794762
62,13.006209564047259,77.5992729023469
63,12.993948206350764,77.60056684331076
64,13.001158872545613,77.57851480586272
65,13.002141008383953,77.56822870527029
66,13.006192810972195,77.55737409031374
67,13.003573033671506,77.54763204224112
68,13.007287155622638,77.53984762063716
69,13.007790976434379,77.52377043983148
70,13.007211238811351,77.51180060308901
71,13.000718742387217,77.5014494673536
72,12.987341605718559,77.48847798318864
73,12.983118298636606,77.51316771215676
74,12.99508665108624,77.53158649238905
75,12.999999627379369,77.5344934665074
76,12.99749116458095,77.5604086141766
77,12.996619790851938,77.57454866367412
78,12.99591355275654,77.61201865153318
79,12.990417365632222,77.62897892811911
80,12.97807458862205,77.6382837099016
81,12.977482932092574,77.68109088980911
82,12.987028805529105,77.71472585782175
83,12.988046462971543,77.75710110231208
84,12.965890158572776,77.74656261061021
85,12.96816064509067,77.70940349430742
86,12.952791282884505,77.69407689222889
87,12.962671070327122,77.67250753368171
88,12.9650526359016,77.64848630653766
89,12.974002428961356,77.63249648745857
90,12.978193575232698,77.62058998335453
91,12.98686380324918,77.61020522517897
92,12.988647719302856,77.60586772496258
93,12.990375839705143,77.5866346242595
94,12.981914023870791,77.57537802016141
95,12.985998141406242,77.56874792769528
96,12.984074067039376,77.56396983183123
97,12.99119100529732,77.56409964576837
98,12.992732443848285,77.55851461868885
99,12.994864111917442,77.54959538507907
100,12.990792419108578,77.54211748747555
101,12.98708330391212,77.53366464839189
102,12.989770400793136,77.52614274069992
103,12.979639736018079,77.52616526286704
104,12.977298249019489,77.5364502472142
105,12.980739784533677,77.54139294626967
106,12.979634844133777,77.54859704354902
107,12.988559619064741,77.54935720009648
108,12.98373937644358,77.55588580939697
109,12.970353278713688,77.57727574906852
110,12.97672635859025,77.59662323947404
111,12.969125454206136,77.6062896465365
112,12.963260546560553,77.63794096983888
113,12.957340554329376,77.65461280115504
114,12.958802779211522,77.6281480225633
115,12.954037188018006,77.6189965032375
116,12.951283403262757,77.6141882728944
117,12.957597282723349,77.60159050751147
118,12.959050042936441,77.58628057804056
119,12.963602840135643,77.58080975796273
120,12.970103681112802,77.56711240788978
121,12.973281261463502,77.55925430816308
122,12.972239499718357,77.55556274767167
123,12.97193799952895,77.54743991905009
124,12.967846987923139,77.54380217387708
125,12.971744727309208,77.5326765419975
126,12.96694529647506,77.52843364754031
127,12.969389231521628,77.5220581490606
128,12.956672503487134,77.52027783812105
129,12.964882363797571,77.50239296013075
130,12.940035540814295,77.48756272725377
131,12.945362138261117,77.5221229630393
132,12.957886830468146,77.52952964816465
133,12.960072961531296,77.53761194084849
134,12.958155961580411,77.54338626203233
135,12.96365838311867,77.54890705928884
136,12.96060830653353,77.55111394791587
137,12.965276697233845,77.5554453900873
138,12.964955530519454,77.56553219883953
139,12.964193227771672,77.5718864059607
140,12.958159877819194,77.56330769269529
141,12.955299831071116,77.55417851186971
142,12.948856045880301,77.5677354321348
143,12.95176257351895,77.57718798776338
144,12.944504882138672,77.59266036131834
145,12.951431057719825,77.59431952655817
146,12.941912375505689,77.60484523846975
147,12.942087484312339,77.61371273940784
148,12.940678259771564,77.62880333477285
149,12.94113656831687,77.7220722070572
150,12.923479730323544,77.67964076668186
151,12.932765676040598,77.624933252247
152,12.929199038554254,77.60876907198563
153,12.937690609608985,77.58837728754628
154,12.936907931684157,77.56859926929837
155,12.945498625698963,77.5598309307849
156,12.945236772641438,77.55353874745717
157,12.95001238299486,77.5452128783747
158,12.946757614573173,77.53819044561602
159,12.919213069993372,77.48297976036544
160,12.922742787570371,77.51871380180008
161,12.92723073118913,77.53981947526468
162,12.938149743663832,77.54594682402345
163,12.931429473320012,77.55240036132003
164,12.934469359917694,77.5594567541146
165,12.925372924784497,77.56364248169464
166,12.92451142589811,77.57389988904154
167,12.933928632486886,77.575200976532
168,12.923983948987507,77.58807851029755
169,12.931509840158824,77.58978872437335
170,12.920691167743627,77.5988037334671
171,12.922815012389382,77.60477988463329
172,12.920322830154602,77.6144130560099
173,12.92041811140677,77.63385409800921
174,12.912363235178649,77.64341112294221
175,12.901764850572544,77.62198945998705
176,12.911599556695588,77.60890744037125
177,12.911366946133539,77.59398042687842
178,12.907935344545937,77.58255942583739
179,12.916987259378452,77.57939717321749
180,12.913769296785189,77.56972047645979
181,12.907761190481724,77.56174744922606
182,12.914146529416175,77.55628766656965
183,12.922041280046516,77.54843978251938
184,12.903512021251203,77.54206841183523
185,12.900350803735993,77.56690988841906
186,12.901065303197578,77.57714754284389
187,12.898584315224426,77.59048924351322
188,12.89780419143242,77.60837740392176
189,12.896940435372665,77.6278519954963
190,12.896373652155775,77.64011509090678
191,12.87975007257491,77.65556900700116
192,12.871780667326826,77.62216691729762
193,12.882421139600256,77.60208640275027
194,12.864041145356014,77.58428950349656
195,12.884885654995166,77.57796981169302
196,12.872460629824653,77.56681902136097
197,12.896139426894708,77.55600233819668
198,12.899565732014587,77.50952528455198
